5.509		0.792
5.612		0.800
5.661		0.808
5.734		0.818
5.802		0.819
5.846		0.826
5.880		0.832
5.900		0.831
5.924	0.833
5.949	0.836
5.890	0.831
5.890	0.834
5.822	0.832
5.744	0.831
5.636	0.825
5.504	0.822
5.382	0.813
5.216	0.815
5.080	0.811
4.904	0.805
4.767	0.798
4.611	0.796
4.450	0.789
4.274	0.784
4.122	0.779
3.956	0.775
3.795	0.762
3.629	0.746
3.463	0.748
3.302	0.731
3.131	0.730
2.970	0.719
2.809	0.710
2.648	0.698
2.482	0.689
2.326	0.676
2.169	0.662
2.018	0.650
1.862	0.636
1.705	0.615
1.564	0.608
1.403	0.593
1.266	0.575
1.119	0.559
0.992	0.544
0.851	0.524
0.699	0.505
0.587	0.485
0.460	0.465
0.333	0.445
0.206	0.424
0.074	0.402
-0.028	0.385
-0.165	0.358
-0.267	0.332
-0.370	0.308
-0.482	0.282
-0.595	0.254
-0.692	0.232
-0.795	0.206
-0.902	0.181
-1.005	0.145
-1.102	0.122
-1.205	0.091
-1.327	0.053
-1.420	0.037
-1.522	0.006
-1.620	-0.023
-1.742	-0.053
-1.849	-0.082
-1.957	-0.113
-2.074	-0.142
-2.191	-0.173
-2.318	-0.202
-2.445	-0.232
-2.543	-0.261
-2.655	-0.290
-2.787	-0.320
-2.909	-0.349
-3.041	-0.376
-3.197	-0.406
-3.295	-0.431
-3.451	-0.458
-3.563	-0.480
-3.710	-0.510
-3.842	-0.535
-3.983	-0.558
-4.144	-0.581
-4.271	-0.607
-4.413	-0.625
-4.550	-0.645
-4.696	-0.663
-4.808	-0.682
-4.970	-0.705
-5.101	-0.717
-5.219	-0.740
-5.346	-0.745
-5.468	-0.757
-5.575	-0.770
-5.678	-0.776
-5.805	-0.789
-5.853	-0.798
-5.946	-0.807
-6.005	-0.811
-6.054	-0.816
-6.107	-0.821
-6.137	-0.824
-6.166	-0.825
-6.156	-0.826
-6.176	-0.826
-6.156	-0.825
-6.146	-0.826
-6.054	-0.823
-5.956	-0.820
-5.834	-0.814
-5.692	-0.823
-5.565	-0.821
-5.404	-0.807
-5.272	-0.805
-5.111	-0.797
-4.950	-0.792
-4.804	-0.787
-4.623	-0.783
-4.472	-0.776
-4.296	-0.775
-4.115	-0.762
-3.959	-0.756
-3.783	-0.750
-3.632	-0.740
-3.461	-0.726
-3.300	-0.722
-3.129	-0.708
-2.973	-0.704
-2.811	-0.683
-2.655	-0.683
-2.484	-0.668
-2.338	-0.656
-2.162	-0.643
-2.015	-0.629
-1.859	-0.611
-1.708	-0.601
-1.566	-0.586
-1.420	-0.569
-1.268	-0.553
-1.146	-0.535
-1.000	-0.517
-0.858	-0.499
-0.731	-0.475
-0.595	-0.463
-0.487	-0.439
-0.350	-0.417
-0.219	-0.406
-0.121	-0.373
0.016	-0.353
0.123	-0.329
0.211	-0.305
0.348	-0.279
0.450	-0.254
0.558	-0.228
0.665	-0.201
0.768	-0.176
0.856	-0.147
0.973	-0.115
1.080	-0.094
1.193	-0.063
1.285	-0.031
1.393	-0.006
1.500	0.024
1.603	0.053
1.715	0.087
1.823	0.112
1.910	0.141
2.057	0.171
2.169	0.202
2.282	0.231
2.399	0.264
2.496	0.290
2.638	0.311
2.765	0.344
2.887	0.378
3.019	0.396
3.131	0.430
3.297	0.457
3.410	0.484
3.536	0.508
3.668	0.532
3.805	0.558
3.912	0.581
4.074	0.603
4.215	0.624
4.337	0.645
4.484	0.664
4.611	0.683
4.738	0.700
4.870	0.717
4.972	0.731
5.104	0.747
5.221	0.759
5.324	0.772
5.426	0.783
5.529	0.794
